id,smiles,actual_solubility,predicted_solubility,error,abs_error
[O-][N+](=O)c1cc2c3ccccc3C(=O)c4ccc5c6ccc7C(=O)c8ccccc8c9ccc(c6c79)c1c5c24,[O-][N+](=O)c1cc2c3ccccc3C(=O)c4ccc5c6ccc7C(=O)c8ccccc8c9ccc(c6c79)c1c5c24,-4.399238,-9.038302421569824,-4.639064311981201,4.639064311981201
Brc1ccc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc(C(=O)c2c1Br)c3c8c4c57,Brc1ccc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc(C(=O)c2c1Br)c3c8c4c57,-4.4504275,-9.04830551147461,-4.5978779792785645,4.5978779792785645
O=[V]=O,O=[V]=O,-4.40025,0.15708982944488525,4.557339787483215,4.557339787483215
CCC(N)=O,CCC(N)=O,-4.23,0.2837646007537842,4.5137646198272705,4.5137646198272705
CCCCCCCCCc1ccc(OCCOCCO)cc1,CCCCCCCCCc1ccc(OCCOCCO)cc1,-0.30451024,-4.79146146774292,-4.486951231956482,4.486951231956482
CCOC(=O)C(=C)C#N,CCOC(=O)C(=C)C#N,-6.7171397,-2.2417421340942383,4.47539758682251,4.47539758682251
Cc1ccccc1O[P](S)(=S)Oc2ccccc2C,Cc1ccccc1O[P](S)(=S)Oc2ccccc2C,-1.06053,-5.5039591789245605,-4.443429231643677,4.443429231643677
[K+].CC(C)CCCCCCCCCCCCCCC([O-])=O,[K+].CC(C)CCCCCCCCCCCCCCC([O-])=O,-8.146901,-3.7155556678771973,4.431345462799072,4.431345462799072
[Zr+4].[Zr+4].[Zr+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,[Zr+4].[Zr+4].[Zr+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-7.338159,-2.912045955657959,4.426113128662109,4.426113128662109
CCCCCCCCCCCCCCCCCCC1CC(=O)N(CCNCCNCCNCCN2C(=O)CC(CCCCCCCCCCCCCCCCCC)C2=O)C1=O,CCCCCCCCCCCCCCCCCCC1CC(=O)N(CCNCCNCCNCCN2C(=O)CC(CCCCCCCCCCCCCCCCCC)C2=O)C1=O,-10.234717,-5.808950901031494,4.425766468048096,4.425766468048096
[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,[La+3].[La+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O,-5.395892,-0.9785595536231995,4.417332589626312,4.417332589626312
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CC(O)CO,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CC(O)CO,-6.8949547,-2.4783339500427246,4.41662073135376,4.41662073135376
[O--].[O--].[O--].[As+3].[As+3],[O--].[O--].[O--].[As+3].[As+3],-1.0458963,-5.457248210906982,-4.411351919174194,4.411351919174194
[Ti+4].Fc1ccc(N2C=C[C-]=C2)c(F)c1.Fc3ccc(N4C=C[C-]=C4)c(F)c3.[cH-]5cccc5.[cH-]6cccc6,[Ti+4].Fc1ccc(N2C=C[C-]=C2)c(F)c1.Fc3ccc(N4C=C[C-]=C4)c(F)c3.[cH-]5cccc5.[cH-]6cccc6,-8.12579,-3.7385077476501465,4.387281894683838,4.387281894683838
[Zn++].[Zn++].[Zn++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,[Zn++].[Zn++].[Zn++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,-5.1553473,-0.7803688049316406,4.374978542327881,4.374978542327881
[Sr++].Cc1cc(N\N=C\2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.Cc4cc(N\N=C\5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O,[Sr++].Cc1cc(N\N=C\2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.Cc4cc(N\N=C\5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O,-7.6228595,-3.2607030868530273,4.362156391143799,4.362156391143799
[Hf],[Hf],-7.1724324,-2.8204307556152344,4.352001667022705,4.352001667022705
CCOC(=O)OCCOc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1N,CCOC(=O)OCCOc1cc(O)c2C(=O)c3ccccc3C(=O)c2c1N,-9.219529,-4.901925563812256,4.317603588104248,4.317603588104248
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCCC(O)=O.OCC(CO)(CO)CO,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCCC(O)=O.OCC(CO)(CO)CO,-6.6194034,-2.3116867542266846,4.307716608047485,4.307716608047485
COCCOCCCN1C(=O)c2c(N)c3C(=O)c4ccccc4C(=O)c3c(N)c2C1=O,COCCOCCCN1C(=O)c2c(N)c3C(=O)c4ccccc4C(=O)c3c(N)c2C1=O,-8.265049,-3.9799304008483887,4.285118579864502,4.285118579864502
[Cl-].[Cl-].[Pd++],[Cl-].[Cl-].[Pd++],-0.50369763,-4.782900333404541,-4.279202699661255,4.279202699661255
[Mg++].[Cl-].[Cl-],[Mg++].[Cl-].[Cl-],0.6922078,-3.5606980323791504,-4.25290584564209,4.25290584564209
[Al+3].[O-]N(N=O)c1ccccc1.[O-]N(N=O)c2ccccc2.[O-]N(N=O)c3ccccc3,[Al+3].[O-]N(N=O)c1ccccc1.[O-]N(N=O)c2ccccc2.[O-]N(N=O)c3ccccc3,-6.194649,-1.9458531141281128,4.248796105384827,4.248796105384827
CCOc1cc(N=Nc2cc(cc(c2Br)[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,CCOc1cc(N=Nc2cc(cc(c2Br)[N+]([O-])=O)[N+]([O-])=O)c(NC(C)=O)cc1N(CCOC(C)=O)CCOC(C)=O,-8.8336,-4.601316928863525,4.232283115386963,4.232283115386963
ClCc1ccc(cc1)c2ccc(CCl)cc2,ClCc1ccc(cc1)c2ccc(CCl)cc2,-10.098913,-5.901647090911865,4.197266101837158,4.197266101837158
CCCCCCCC\C=C/CCCCCCCCO.O[P](O)(O)=O,CCCCCCCC\C=C/CCCCCCCCO.O[P](O)(O)=O,-6.7858977,-2.595259666442871,4.190638065338135,4.190638065338135
C1CC2=CC3=CC4=C(C=CC=C4)C=C3C5=C2C1=CC=C5,C1CC2=CC3=CC4=C(C=CC=C4)C=C3C5=C2C1=CC=C5,-2.97,-7.142452239990234,-4.172452211380005,4.172452211380005
CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)C(O)=O,CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(CCC4(C)C3CCC12C)C(O)=O,-8.76,-4.607027530670166,4.15297269821167,4.15297269821167
CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)OC2[C@H](C)O[C@H](C[C@@H]2OC)OC3[C@@H](C)/C=C/C=C/4CO[C@@H]5[C@H](O)C(=C[C@@H](C(=O)O[C@H]6C[C@@H](C\C=C3/C)O[C@@]7(C6)O[C@@H]([C@@H](C)C=C7)C8CCCCC8)[C@]45O)C,-7.5558815,-3.4291515350341797,4.126729965209961,4.126729965209961
CC(C)(C)c1ccc(O)cc1.C=O,CC(C)(C)c1ccc(O)cc1.C=O,-6.4939404,-2.3847618103027344,4.10917854309082,4.10917854309082
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CC(C)(CO)CO,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CC(C)(CO)CO,-6.6558857,-2.567103862762451,4.088781833648682,4.088781833648682
C1C[n+]2ccccc2c3cccc[n+]13,C1C[n+]2ccccc2c3cccc[n+]13,-3.425,0.5947489738464355,4.01974892616272,4.01974892616272
[Ca++].[Ca++].[Ca++].[O-]B([O-])[O-].[O-]B([O-])[O-],[Ca++].[Ca++].[Ca++].[O-]B([O-])[O-].[O-]B([O-])[O-],-0.6843417,-4.693774223327637,-4.00943249464035,4.00943249464035
CC(=O)C(N=Nc1ccc(c(Cl)c1)c2ccc(N=NC(C(C)=O)C(=O)NN)c(Cl)c2)C(=O)NN,CC(=O)C(N=Nc1ccc(c(Cl)c1)c2ccc(N=NC(C(C)=O)C(=O)NN)c(Cl)c2)C(=O)NN,-8.705297,-4.705312728881836,3.9999847412109375,3.9999847412109375
COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)[N+]([O-])=O,-6.9290133,-2.938823699951172,3.990189552307129,3.990189552307129
Clc1cc(c(Cl)cc1c2[nH]c3ccc4C(=O)c5ccccc5C(=O)c4c3n2)c6[nH]c7ccc8C(=O)c9ccccc9C(=O)c8c7n6,Clc1cc(c(Cl)cc1c2[nH]c3ccc4C(=O)c5ccccc5C(=O)c4c3n2)c6[nH]c7ccc8C(=O)c9ccccc9C(=O)c8c7n6,-4.524776,-8.502851486206055,-3.9780755043029785,3.9780755043029785
O=C1c2ccccc2c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68,O=C1c2ccccc2c3ccc4c5ccc6c7ccccc7C(=O)c8ccc(c9ccc1c3c49)c5c68,-5.513313,-9.453909873962402,-3.9405970573425293,3.9405970573425293
[Pd++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,[Pd++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,-7.4384613,-3.499825954437256,3.9386353492736816,3.9386353492736816
COC1=CC2=C(C=C1OC)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)[N+]([O-])=O,COC1=CC2=C(C=C1OC)C(=NC=N2)N3CCN(CC3)C(=O)NC4=CC=C(C=C4)[N+]([O-])=O,-6.95,-3.023263454437256,3.926736354827881,3.926736354827881
NCCCCCCCCCCN,NCCCCCCCCCCN,1.527701,-2.3956971168518066,-3.9233981370925903,3.9233981370925903
[Pb],[Pb],-3.049218,-6.969840049743652,-3.9206221103668213,3.9206221103668213
CCCC=O.Nc1ccccc1,CCCC=O.Nc1ccccc1,-4.5021014,-0.5959306955337524,3.9061707258224487,3.9061707258224487
CC(C)CCCCCCCCCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)C(O)O,CC(C)CCCCCCCCCCCCCCC(O)=O.OC[C@H](O)[C@@H](O)[C@H](O)C(O)O,-6.655742,-2.7610669136047363,3.8946752548217773,3.8946752548217773
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,-6.3058677,-2.42279052734375,3.8830771446228027,3.8830771446228027
CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,CCCCC(CC)C(=O)O[Co]OB(O[Co])O[Co](OC(=O)C(CC)CCCC)OC(=O)C(CC)CCCC,-1.8254561,-5.700808048248291,-3.875351905822754,3.875351905822754
[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,[Zn++].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,-5.5333333,-1.6594517230987549,3.8738815784454346,3.8738815784454346
CC(C)=O.C=O.N(c1ccccc1)c2ccccc2,CC(C)=O.C=O.N(c1ccccc1)c2ccccc2,-5.9695864,-2.095870018005371,3.873716354370117,3.873716354370117
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2cc(N)ccc2N=Nc3ccc(N)cc3,[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2cc(N)ccc2N=Nc3ccc(N)cc3,-7.532415,-3.681535243988037,3.850879669189453,3.850879669189453
[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],[Al+3].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Ti+4],-0.111289404,-3.957350730895996,-3.8460613265633583,3.8460613265633583
[Cl-].[Cl-].[Cl-].[Fe+3],[Cl-].[Cl-].[Cl-].[Fe+3],0.6028518,-3.226858139038086,-3.8297099471092224,3.8297099471092224
CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCC(O)=O.CCC(CO)(CO)CO.OC(=O)CCCCC(O)=O,CCCCCCCCCC(O)=O.CCCCCCCC(O)=O.CCCCCC(O)=O.CCC(CO)(CO)CO.OC(=O)CCCCC(O)=O,-5.8530645,-2.0446529388427734,3.8084115982055664,3.8084115982055664
COC1=C(C=C(NC(C)=O)C(=C1)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)N(CCC#N)CC=C,COC1=C(C=C(NC(C)=O)C(=C1)N=NC2=C(Br)C=C(C=C2[N+]([O-])=O)[N+]([O-])=O)N(CCC#N)CC=C,-8.9,-5.097349166870117,3.8026504516601562,3.8026504516601562
[Cl-].[Cl-].[Co++],[Cl-].[Cl-].[Co++],0.65441835,-3.1473464965820312,-3.8017648458480835,3.8017648458480835
Oc1ccccc1.ClCC2CO2.C=O,Oc1ccccc1.ClCC2CO2.C=O,-4.0347567,-0.239109605550766,3.79564705491066,3.79564705491066
COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC,COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC,1.5823133,-2.175748825073242,-3.7580621242523193,3.7580621242523193
C,C,-2.8629,-6.615051746368408,-3.7521517276763916,3.7521517276763916
[Mg++],[Mg++],-2.4020693,-6.144031047821045,-3.741961717605591,3.741961717605591
CC(C)(COCc1cccc(Oc2ccccc2)c1)c3ccc(OC(F)(F)Br)cc3,CC(C)(COCc1cccc(Oc2ccccc2)c1)c3ccc(OC(F)(F)Br)cc3,-9.9799,-6.254218101501465,3.725682258605957,3.725682258605957
FC(F)(F)c1cccc(c1)C(n2cncn2)(c3ccccc3)c4ccccc4,FC(F)(F)c1cccc(c1)C(n2cncn2)(c3ccccc3)c4ccccc4,-8.403,-4.679590702056885,3.7234091758728027,3.7234091758728027
COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,COC(=O)C1CC(=O)C(CC1=O)C(=O)OC,-4.154196,-0.43898043036460876,3.715215355157852,3.715215355157852
CCCCCCCCCCCCCC(=O)OCC(O)CO,CCCCCCCCCCCCCC(=O)OCC(O)CO,-7.3978753,-3.7002291679382324,3.697646141052246,3.697646141052246
COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)N4C=NNC4=O,COc1ccc(cc1)N2CCN(CC2)c3ccc(cc3)N4C=NNC4=O,-6.4889092,-2.794402599334717,3.6945066452026367,3.6945066452026367
CCCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,CCCCCCCCC(O)=O.CCCCCCC(O)=O.CCCCC(O)=O.OCC(CO)(CO)CO,-5.418374,-1.7261792421340942,3.6921948194503784,3.6921948194503784
O.[Pb].O[S](O)(=O)=O,O.[Pb].O[S](O)(=O)=O,-4.2262964,-0.5448397397994995,3.681456685066223,3.681456685066223
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-9.135966,-5.458833694458008,3.6771326065063477,3.6771326065063477
O.O.O.O.O.[Na+].[Na+].[O-][Si]([O-])=O,O.O.O.O.O.[Na+].[Na+].[O-][Si]([O-])=O,-3.2659206,0.41004908084869385,3.67596971988678,3.67596971988678
F[S](F)(F)(F)(F)F,F[S](F)(F)(F)(F)F,-3.6731548,-0.01125246286392212,3.661902368068695,3.661902368068695
CCCN(CCC)CC1=CC=CC(=C1)C(=O)OCCOC[N]2C=NC3=C2N=C(N)NC3=O,CCCN(CCC)CC1=CC=CC(=C1)C(=O)OCCOC[N]2C=NC3=C2N=C(N)NC3=O,-0.35,-3.9938297271728516,-3.643829733133316,3.643829733133316
O=C1CCCCCN1C(=O)Nc2ccc(Cc3ccc(NC(=O)N4CCCCCC4=O)cc3)cc2,O=C1CCCCCN1C(=O)Nc2ccc(Cc3ccc(NC(=O)N4CCCCCC4=O)cc3)cc2,-7.7632613,-4.12296199798584,3.6402993202209473,3.6402993202209473
CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,CCCCCCCCCCCC(=O)OCCOCC(OCCO)C1OCC(OCCO)C1OCCO,-6.4172025,-2.7819457054138184,3.635256767272949,3.635256767272949
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,-3.700460433959961,3.619539737701416,3.619539737701416
CCC(C)C1NC(=O)C(CC2=CC=CC=C2)NC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)N(C)C(=O)C5CCCCN5C(=O)C6CCCCN6C1=O,CCC(C)C1NC(=O)C(CC2=CC=CC=C2)NC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)N(C)C(=O)C5CCCCN5C(=O)C6CCCCN6C1=O,-5.57,-1.981103539466858,3.588896632194519,3.588896632194519
O=[Mo](=O)=O,O=[Mo](=O)=O,-2.1581724,-5.735781192779541,-3.577608823776245,3.577608823776245
CCC(/C1=CC=CC=C1)=C(\C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,CCC(/C1=CC=CC=C1)=C(\C2=CC=CC=C2)C3=CC=C(OCCN(C)C)C=C3,-8.49,-4.920336723327637,3.5696630477905273,3.5696630477905273
CCCCOC(=O)/C=C/c1ccccc1,CCCCOC(=O)/C=C/c1ccccc1,-1.6112,-5.161313533782959,-3.550113558769226,3.550113558769226
CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,-4.64,-1.0956721305847168,3.544327735900879,3.544327735900879
CCCC(CCC)CCCC1COCCN1CCO,CCCC(CCC)CCCC1COCCN1CCO,0.96425813,-2.566831111907959,-3.5310892462730408,3.5310892462730408
